Q9VUN0	GO:0016021,GO:0005886
Q9VX56	GO:0005776,GO:0000407
Q9W0F5	
Q9W200	GO:0005634
Q9W4X8	
P13706	GO:0005829,GO:0009331,GO:0031430,GO:0030018
Q7JQL6	
Q9V447	GO:0012505,GO:0005783,GO:0016021
Q9VFQ9	GO:0005737
Q9VSL7	GO:0016323,GO:0009986,GO:0005887,GO:0005886
A1Z6K7	GO:0016282,GO:0033290,GO:0005852,GO:0071541
Q7JVI3	GO:0005829,GO:0016282,GO:0033290,GO:0005852,GO:0071541,GO:0005794,GO:0070865
Q9VBH7	GO:0005634,GO:0031515
A1Z6K9	
O76878	GO:0036064,GO:0005737
A1Z6M0	GO:0035060,GO:0005700,GO:0016586
Q04787	GO:0005634
Q9VUM3	GO:0030134,GO:0005783,GO:0030176,GO:0030173
A1Z6M6	GO:0005634
P02828	GO:0005813,GO:0005737,GO:0048471,GO:0005886,GO:0005705
Q02361	GO:0005634
Q24388	GO:0005616
Q7JYV7	GO:0005737,GO:0005634
Q7KVR7	GO:0030121,GO:0030136,GO:0055037,GO:0030141,GO:0005802
Q9VFQ3	GO:0005634
Q9VWQ6	GO:0005622
A1Z6N5	GO:0005737,GO:0005747
A1Z6P8	GO:0005622
A1ZB62	
G4LU61	
O96692	GO:0005622,GO:0016020
P00334	GO:0005829,GO:0005622,GO:0032991
P02516	
P0CG69	GO:0005737,GO:0005829,GO:0005654,GO:0005634
P13678	GO:0005622,GO:0005886
P17719	GO:0005739
P20348	GO:0005829
P20482	GO:0005634,GO:0005703
P41092	GO:0022625,GO:0022626
P54350	GO:0005634
P55935	GO:0005737,GO:0005829,GO:0022626,GO:0022627,GO:0005730
P91615	
Q03019	GO:0005737,GO:0005634,GO:0005819
Q7KMQ6	GO:0005737,GO:0005829,GO:0005634
Q7KSI9	GO:0016021
Q7KTH6	
Q8SXB0	GO:0016021
Q960E4	
Q965D9	GO:0045179
Q9I7R5	GO:0031965,GO:0034399
Q9V4A7	GO:0030425,GO:0005887,GO:0005886,GO:0002116
Q9V773	GO:0005789,GO:0031090
Q9VA91	GO:0022627,GO:0005634,GO:0032040
Q9VBE2	GO:0031012
Q9VBN5	GO:0022625
Q9VCB9	GO:0005844
Q9VCX1	GO:0045179,GO:0016324,GO:0005737,GO:0005829,GO:0005886
Q9VF51	GO:0005829
Q9VIV5	
Q9VLY0	GO:0000276
Q9VPV7	GO:0005854
Q9VS26	
Q9VTC4	GO:0097361
Q9VV51	GO:0012505,GO:0016021
Q9VV82	GO:0031965,GO:0034399
Q9VXQ7	GO:0005739
Q9VZK5	GO:0005634
Q9W1W8	GO:0016021
Q9W418	GO:0005737,GO:0005634,GO:0005704
A1Z6Q1	GO:0016021,GO:0034399,GO:0048471
A1Z8H7	GO:0031012
A1Z9G9	GO:0016593,GO:0005634
H1UUH1	
P29503	GO:0005737,GO:0005829,GO:0005634,GO:0048471,GO:0005886
P48592	GO:0005829
P54611	GO:0005886,GO:0033181,GO:0000221
P82147	GO:0048471,GO:0030018
Q06559	GO:0022626,GO:0022627,GO:0016363,GO:0005634
Q0KIB3	GO:0000781,GO:0000790
Q23985	GO:0005737,GO:0005829
