A0A0B4JD44	GO:0034976
Q8IPW1	GO:0007613,GO:0042048,GO:0035023,GO:0050803,GO:0045471,GO:0007266
Q8IR14	
Q8IRI7	
Q9GYU8	GO:0019730,GO:0006406,GO:0046826,GO:0006611,GO:0006606,GO:0000055,GO:0000056
Q9W3N6	GO:0006888,GO:0007030,GO:0048211,GO:0006886,GO:0061025,GO:0010389,GO:0044719,GO:0045056,GO:0048280
Q9V3M9	GO:0060271,GO:0060294,GO:0030317,GO:0007017
Q9V785	GO:0009952,GO:0007301,GO:0035556,GO:0007498,GO:0042694,GO:0007517,GO:0048644,GO:0061099
Q9VAA1	GO:0035556,GO:0007169
Q9VCE6	GO:0007549,GO:0030237,GO:0030708,GO:0080009,GO:0000398,GO:0030707,GO:1990744,GO:0000381,GO:0060968,GO:0008593,GO:0001510,GO:0007530,GO:0007548
Q9VCU7	GO:0007293,GO:0051321,GO:0010526,GO:0048477,GO:0034587,GO:0060966
Q9VD71	
Q9VDG2	GO:0007275,GO:0043547,GO:0006898,GO:0046578,GO:0007264
Q9VDS5	GO:0034613,GO:0007480,GO:0030837,GO:0007274,GO:1900144,GO:0043547,GO:0045887,GO:0032956,GO:0007165,GO:1990255
Q9VDV3	GO:0051028,GO:0006913,GO:0015031
Q9VF37	GO:0007131,GO:0007130
Q9VF72	
Q9VHG0	GO:0051276,GO:0045448,GO:0031940,GO:0035092
Q9VHV1	GO:0019985
Q9VL65	
Q9VLB2	
Q9VLJ8	GO:0018192,GO:0032324,GO:0006777,GO:0032447,GO:0034227,GO:0002143
Q9VML8	GO:0021782,GO:0045742,GO:0045743,GO:0045467,GO:0007165
Q9VMQ8	GO:0032456,GO:0006896,GO:0007041,GO:0042147
Q9VNK8	
Q9VPS5	GO:0006458,GO:0008637,GO:0007005,GO:0045041,GO:0042026,GO:0006626
Q9VQK1	GO:0016246
Q9VR24	
Q9VR99	GO:0009950,GO:0000398
Q9VRQ6	GO:0014003
Q9VSB2	
Q9VT94	GO:0032436,GO:0000209,GO:0006511
Q9VUL2	GO:0070131
Q9VV90	
Q9VZQ7	
Q9W0V5	
Q9W289	GO:0007030,GO:0048193,GO:0050775
Q9W2J7	GO:0007399
Q9W3K6	
Q9W3Z4	
Q9W403	GO:0000122
Q9W4E0	
Q9W4I4	GO:0006357
Q9XYM0	GO:0007298,GO:0048013,GO:0046529,GO:0007520,GO:0006911,GO:0046330,GO:0032956,GO:0043087,GO:0048010
