A0A0B4JD44	GO:0034976
C0HL66	GO:0006336,GO:0007140
Q8IP68	
A1ZAG1	
Q9VQD8	GO:0034314,GO:0016477,GO:0000902,GO:0030833
A1ZAG7	
Q9VRG8	GO:0001667,GO:0019752,GO:0030149,GO:0006665
A1ZAH1	GO:0015986,GO:0007287
Q86BA5	GO:0006888,GO:0007030,GO:0048193,GO:0006886,GO:0048042
Q9I7K5	GO:0009953,GO:0006888,GO:0007030,GO:0048193,GO:0006886,GO:0034389,GO:0048042,GO:0035220,GO:0061355
Q9W077	GO:0040003
A1ZAH3	GO:0001654,GO:0040011,GO:0008582,GO:0042052
Q9VHT6	
A1ZAH6	GO:0007498,GO:0018105,GO:0018107,GO:0006468
A1ZAI3	GO:0006629,GO:0035336,GO:0010025
A1ZAI5	GO:0008611,GO:0035336,GO:0010025
Q8IP97	GO:0007399,GO:0007031
A1ZAI8	
Q7KS72	GO:0048800,GO:0022416,GO:0035015,GO:0007480,GO:0035218,GO:0007501,GO:0045892,GO:0045747,GO:0045893
Q7Z2C5	
A1ZAJ7	
Q9W1B9	GO:0002181,GO:0000027
A1ZAJ8	
Q7KM13	GO:0030154,GO:0045746,GO:0048664,GO:0007219,GO:0050767
A1ZAK1	GO:0034472,GO:0016180
A1ZAK7	GO:0006397,GO:0048025,GO:0000381,GO:0048024,GO:0006355,GO:0007283
Q9VL25	GO:0045943
A1ZAL1	GO:0050829,GO:0008152
Q9VAN8	
A1ZAM0	
Q9VZK8	
A1ZAP0	GO:0010629
Q2PDP6	
A1ZAP8	
A1ZAQ4	GO:0035025,GO:0034976
A1ZAQ6	
Q9VHA0	GO:0007409,GO:0006325,GO:0048749,GO:0016458,GO:0030708,GO:0045926,GO:0045892,GO:0022008,GO:0030713,GO:0007419
Q9VJW5	GO:0000209
A1ZAR2	GO:0018230,GO:0018345,GO:0006612
A1ZAR6	GO:0006606
A1ZAS8	GO:0048477
Q8T3U2	GO:0002181,GO:0006412
Q9VMT5	
A1ZAT5	
Q9GU68	GO:0032504,GO:0045901,GO:0045905,GO:0042981,GO:0006452
Q9VWE4	GO:0070940,GO:0031124,GO:0006378,GO:0006470,GO:0006369
A8JV41	GO:0008049,GO:0019236,GO:0006814
O77264	GO:0048681,GO:0006396
P18053	GO:0010498,GO:0010499,GO:0043161
P41375	GO:0016199,GO:0001731,GO:0034976,GO:0006413
P48604	GO:0006457,GO:0030150,GO:0006626
Q00168	GO:0009267,GO:0007268,GO:0007619,GO:0007611,GO:0007616,GO:0008049,GO:0050710,GO:0010888,GO:0007528,GO:1990443,GO:0006468,GO:0051489,GO:0060278,GO:0008582
Q24560	GO:0007017
Q7KLW6	GO:0006261,GO:0006272,GO:0007062
Q8SXP0	GO:0032869,GO:0009267,GO:0009062,GO:0007474,GO:0055088,GO:0030514,GO:0046628,GO:0014068,GO:0045944,GO:0010565,GO:0019217,GO:0006357,GO:0042594,GO:0019432
Q9BJZ5	GO:0006397,GO:0043484,GO:0008380
Q9U4G5	GO:0008285,GO:0045944
Q9VBZ0	
Q9VDT9	GO:0001745,GO:0035231,GO:0007427,GO:0008543,GO:0046847,GO:0035215,GO:0008347,GO:0007424,GO:0070374,GO:0007428,GO:2000274,GO:0007429,GO:0007430
Q9VEY5	GO:0042407
Q9VL07	GO:0071390,GO:0071480,GO:0035072,GO:0016577,GO:0071557,GO:0051568,GO:0008285,GO:0061086,GO:1902465,GO:0045746,GO:0010508,GO:0045893,GO:1990248,GO:0045498,GO:0042060
Q9VS45	GO:0035025,GO:0051496
Q9VWA8	GO:0007517,GO:0031936,GO:0070511,GO:0006364
Q9W4P0	GO:0005975
A1ZAU8	GO:0045167,GO:0031122,GO:0061867,GO:0000226,GO:0007026,GO:0031175
A1ZBY1	GO:0051438
A8DYY6	GO:0045926,GO:0035332,GO:0071902
H1UUF6	
O18680	GO:0040003,GO:0006783,GO:0006782
P08985	GO:0006325,GO:0006281,GO:0036098,GO:0007275,GO:0071168,GO:0035019
Q23973	GO:0007050,GO:0032837,GO:0016321,GO:0045143,GO:0051445
Q24251	GO:0099132,GO:0046034,GO:0015986,GO:0008340,GO:0070373,GO:0032007,GO:1902600,GO:0051881,GO:0006979
Q6NR30	
Q7KRY6	GO:0051301,GO:0030261,GO:0036099,GO:0007143,GO:0060361,GO:0016572,GO:0036098,GO:0051321,GO:0000070,GO:0007052,GO:0097150,GO:0030717,GO:0018105,GO:0018107,GO:0006468,GO:0045214,GO:0007130
Q8IP90	GO:0036099,GO:0007281,GO:0006376,GO:0007319,GO:0017148,GO:0048477,GO:0031536,GO:2000738,GO:0000381,GO:0014881,GO:0045214
Q9VJ33	GO:0008283,GO:0036099,GO:0019941,GO:0007275,GO:0045116,GO:0031647,GO:0030162,GO:0008589,GO:2000736,GO:0051438,GO:0030431
Q9VSH4	GO:0006397,GO:0000381
Q9VWF8	
A1ZAV3	GO:0044255,GO:0071456,GO:0030706,GO:0046580,GO:0045892,GO:0045893,GO:0045944,GO:0010468
A1ZAW3	GO:0007480,GO:0051056,GO:0007264
A8DYB7	
P09089	GO:0007378,GO:0048749,GO:0009950,GO:0010629,GO:0045944
P12982	GO:0008344,GO:0007411,GO:1904886,GO:0030261,GO:0007059,GO:0007623,GO:0007611,GO:0040011,GO:0000278,GO:0007080,GO:0007399,GO:0008355,GO:0048477,GO:0090263,GO:0046579,GO:0006470,GO:0051225,GO:0008542
P17276	GO:0006726,GO:0007616,GO:0006559,GO:0042427
Q4V424	GO:0043666,GO:0009966
A1ZAW9	GO:0051276
Q4V6H2	GO:0032504,GO:0006979
A1ZAX0	GO:0007186,GO:0007218
P15364	
A1ZAX1	GO:0001732,GO:0006413
Q7K4A8	GO:0045329
Q95TL8	GO:0045454
Q9VZS3	GO:0071456,GO:0001731,GO:0006417
A1ZAX8	GO:0035280,GO:0060967,GO:0070923
O61348	
Q9VT69	GO:0046856
A1ZAY1	GO:0090163,GO:0001736,GO:0035331,GO:0090251
A1ZAY9	GO:0009593
G4LU48	
I1WYH9	GO:0007275,GO:0016055
P09615	GO:0007448,GO:0035147,GO:0048754,GO:0060070,GO:0061316,GO:0010002,GO:0090254,GO:0035293,GO:0001745,GO:0035225,GO:0007450,GO:0007391,GO:0007398,GO:0008544,GO:0061331,GO:0035153,GO:0035224,GO:0035263,GO:0060914,GO:0007442,GO:0007488,GO:0008587,GO:0007476,GO:0007444,GO:0035217,GO:0035167,GO:0007523,GO:0007616,GO:0035170,GO:0048542,GO:0061332,GO:0061382,GO:0007498,GO:0048332,GO:0009996,GO:0032876,GO:0045611,GO:0014019,GO:0030707,GO:0061320,GO:0010942,GO:0008284,GO:0046672,GO:0042691,GO:0045572,GO:2000648,GO:0061328,GO:0048728,GO:0048076,GO:0044719,GO:0072091,GO:0007367,GO:0060061,GO:0035277,GO:0050808,GO:0051124,GO:0007418,GO:0035311,GO:0035220
P49630	GO:0002181
P49657	GO:0007623,GO:0007611,GO:0045786,GO:0035331,GO:0007399,GO:0008355,GO:2000253,GO:0045927,GO:0045666,GO:0045887,GO:1900244,GO:0046777,GO:0006468,GO:0007632
Q24443	GO:0000719
Q26307	GO:0030154,GO:0007399
Q8I0D5	
Q94522	GO:0061621,GO:0009142,GO:0006105,GO:0006104,GO:0006099
Q9VPU1	GO:0007411,GO:0007520,GO:0046627
Q9VQL9	GO:0006470
Q9VSQ1	GO:0007476,GO:0046716,GO:0003012,GO:0030335,GO:0051496,GO:1900026,GO:0010623,GO:0035070,GO:0060439,GO:0044319
Q9VWT3	GO:0006520,GO:0019344,GO:0006536,GO:0006751,GO:0006749,GO:0032504,GO:0009416
Q9VZK2	GO:0000122
Q9W406	
A1ZAZ6	
A1ZAZ7	
Q8T6B9	GO:0000380,GO:0007282,GO:0006376,GO:0000398,GO:0007275,GO:0008285,GO:0045926,GO:0048477,GO:0000381,GO:0001558
Q9VD29	GO:0000902,GO:0040003,GO:0035293,GO:0035050,GO:0007029,GO:0006888,GO:0006886,GO:0008363,GO:0061024,GO:0048081,GO:0050775,GO:0070863,GO:0072659,GO:0009306,GO:0003400,GO:0016050
A1ZB08	
A8MZR2	
Q86B99	
Q86S05	GO:0007620,GO:0008069,GO:0060179,GO:0045571,GO:0046426,GO:0045893
Q8STI6	
Q9V9Z3	GO:0008299,GO:0043066,GO:0014019,GO:0098780
Q9VL71	GO:0000398,GO:0000381,GO:0010468,GO:0031440,GO:0001178
Q9VW41	
Q9XYZ6	GO:0000398,GO:1901407
Q7KNM2	GO:0006464,GO:0071560,GO:0007391,GO:0016321,GO:0007143,GO:0008354,GO:0035172,GO:0006959,GO:0035207,GO:0035204,GO:0045751,GO:0006606,GO:0016925,GO:0030721,GO:0007352
Q9XZ68	GO:0018344,GO:0018342
A1ZB21	
Q9VA32	GO:0040003
A1ZB32	GO:0006030
A1ZB42	GO:0007406,GO:0006357,GO:0006366
P06607	GO:0009792,GO:0045995,GO:0009617,GO:0007548
Q9V3G7	GO:0043161
Q9V6K1	GO:0051260,GO:0006508
Q9VEC8	
Q9VF23	GO:0032504
Q9VJB3	
Q9VRJ2	GO:0008344,GO:0034389,GO:0008654,GO:0050773,GO:0007605,GO:0030730
Q9VUG5	
A1ZB56	
A1ZB57	
I0B1P6	
Q7K3Q3	GO:0006915
Q9VM97	GO:0033627,GO:0016203,GO:0007517
Q9W0G1	GO:0007411,GO:0071456,GO:0007377,GO:0007259,GO:0000278,GO:0008285,GO:0042059,GO:0070373,GO:0046627,GO:0046426,GO:0046329,GO:0014067,GO:0030948,GO:0035335,GO:0018108,GO:0032880,GO:0031647
A1ZB58	
P05661	GO:0007527,GO:0007298,GO:0007427,GO:0060361,GO:0040011,GO:0042692,GO:0006936,GO:0007517,GO:0071689,GO:0030239,GO:0031033,GO:0050821,GO:0043520,GO:0045214,GO:0030241
Q8ING0	GO:0006508
A1ZB61	
P26686	GO:0051607,GO:0000278,GO:0044819,GO:0045292,GO:0000398,GO:0000381,GO:0010468,GO:0031440,GO:0048024,GO:0001178,GO:0008380
Q24524	GO:0030036,GO:0051017,GO:0007015,GO:0048800,GO:0016477,GO:0008407,GO:0035017,GO:0016358,GO:0009913,GO:0007163,GO:0046847,GO:0035099,GO:0035317,GO:0030034,GO:0048812,GO:0048477,GO:0042060
Q7JXZ2	GO:0071266,GO:0019343,GO:0006750,GO:0000096,GO:0019346
Q7K3Y9	
Q8MSV2	GO:0008344,GO:0008050,GO:0042332,GO:0007552,GO:0016322,GO:0034976,GO:0009629
Q9VA42	GO:0042381,GO:0032367,GO:0007498,GO:0015918
Q9VGK3	
Q9VIU4	GO:0006646
Q9VV75	GO:0006122,GO:0006627
Q9VYQ9	GO:0007030,GO:0000398,GO:0009306
Q9VZ71	
A1ZB64	
Q8MLP8	GO:0006402,GO:0017148
Q9VGA3	
Q9VT02	GO:0006030
A1ZB68	GO:0006749
Q9VF00	GO:0048646,GO:0009887,GO:0019730,GO:0048468,GO:0007492,GO:1903703,GO:0035883,GO:0007507,GO:0036335,GO:0007494,GO:0010629,GO:0045944,GO:0009888
Q9W1A4	GO:0007275,GO:0015031
A1ZB71	GO:0006749
A1ZB73	GO:0006749
Q9TVP3	GO:0006457
A1ZB83	
P29310	GO:0007059,GO:0042994,GO:0007294,GO:0007611,GO:0045448,GO:0007399,GO:0008355,GO:0008103,GO:0035332,GO:0046579,GO:0120176,GO:0006457,GO:0050821,GO:0040040
P36241	GO:0002181
Q9V3D9	GO:0006614
Q9VW15	GO:0048096,GO:0001700,GO:0097676,GO:0010452,GO:0051568,GO:0051567,GO:0034770,GO:0016571,GO:0061086,GO:0048477,GO:0018991,GO:0010628,GO:0006355
Q9W252	GO:0051276,GO:0070192,GO:0032508,GO:0006302,GO:0090305,GO:0008104,GO:0016233,GO:0000723,GO:0000722,GO:0007004
A1ZB86	GO:0032874
A1ZBA1	GO:0007480,GO:0007474,GO:0032489
A8DYL7	GO:0007281,GO:0008354,GO:0048134,GO:0045892,GO:0007277,GO:0007280,GO:0031453
E2QD16	GO:0030727,GO:0030718,GO:0043984,GO:0043981,GO:0043982,GO:0007526,GO:0007528,GO:0048477,GO:0045893,GO:0030100
F0JAI6	
C0HKA0	GO:0002181,GO:0000462,GO:0000028,GO:0006412
C0HKA1	GO:0002181,GO:0000462,GO:0000028,GO:0006412
P54397	GO:0035626,GO:0010507,GO:0016242
Q24117	GO:0051017,GO:0006914,GO:0022416,GO:0008407,GO:0000132,GO:0007476,GO:0034454,GO:0007018,GO:0048477,GO:2000582,GO:1904801,GO:0035071,GO:0007290,GO:0007283,GO:0007291,GO:0035220
Q7K3M5	GO:0000398,GO:1900745
Q9V668	GO:0006605
Q9VDD1	GO:0051092
Q9VDQ3	GO:0010628,GO:0006355
Q9VMX9	GO:0006508
Q9W073	
Q9Y1A3	GO:0072321,GO:0006626
O18412	GO:0008053,GO:0051646,GO:0007275,GO:0007287,GO:0007283,GO:0030382
P07666	GO:0007015,GO:0000915,GO:0007349
Q08012	GO:0008306,GO:0007173,GO:0007427,GO:0008543,GO:0007476,GO:0008355,GO:0030707,GO:0045793,GO:0070374,GO:0048260,GO:1904263,GO:0007465,GO:0007265,GO:0045500,GO:0007614,GO:0008293,GO:0007426,GO:0048010
Q24185	GO:0031122,GO:0030705,GO:0008340,GO:0006897,GO:0045467
Q7KLE5	GO:0006887,GO:0008104,GO:0006937,GO:0042052,GO:0045313
Q8IRJ8	GO:0008283,GO:0006406,GO:0031990,GO:0006397,GO:0009408
Q9VM65	GO:0035331,GO:0046579
Q9VPR6	GO:0007444,GO:0032958
Q9VS12	GO:0040003
Q9VXE8	GO:0050829,GO:0045089,GO:0000209,GO:0030433,GO:0006511
Q9W465	
A1ZBC4	GO:0042149,GO:0050802,GO:0008286,GO:0035556,GO:0055088,GO:0042308,GO:0032007,GO:0010897,GO:0018107,GO:0006468,GO:0042594
Q4V4F7	
Q9VDF0	GO:0030154,GO:0006006,GO:0000122,GO:0006357,GO:0009744
Q9VU72	GO:0006030
A1ZBC5	GO:0010468,GO:0006355
Q24141	GO:0051301,GO:0007143,GO:0007065,GO:0007140,GO:0045132,GO:0007275,GO:0007062
Q9VHA4	GO:0006355
A1ZBC7	GO:0003333,GO:0006836,GO:0010226
M9NEJ1	
P16241	GO:0007420,GO:0035284,GO:0048813,GO:0008045,GO:0007422,GO:0002807,GO:0045944,GO:0048814
P23647	GO:0007293,GO:0042073,GO:0030514,GO:0007228,GO:0031398,GO:0006468,GO:0031647,GO:0030162,GO:0007367,GO:0007224
Q7JY26	
Q95TN4	GO:0007030,GO:0048213,GO:0006891,GO:0015031,GO:0006890
Q9NIV1	GO:0036499,GO:0010508,GO:0046330,GO:0006468,GO:0010389
Q9VF15	GO:0015671
Q9VFW5	GO:0007186,GO:0007218
Q9VG51	GO:0032456,GO:0061357,GO:0050821,GO:0035220
Q9VNZ8	GO:0035011,GO:0043547,GO:0043087,GO:0032483
Q9VS14	GO:0040003
Q9VVD3	
Q9VX71	
Q9VZ07	GO:0008089,GO:0030951,GO:0007018,GO:1905515,GO:0007608,GO:0007605
Q9W0L0	GO:0030036,GO:0031532,GO:0048675,GO:0007411,GO:0007412,GO:0007417,GO:0007480,GO:0035556,GO:0016319,GO:0007422,GO:0035025,GO:0045887,GO:0050770,GO:0071772
Q9W3U1	GO:0018026,GO:0018023,GO:0045944
A1ZBD9	GO:0055085
Q8T0S6	GO:0097202,GO:0032147,GO:0007298,GO:0001654,GO:0035329,GO:0042771,GO:0002011,GO:0090090,GO:0008285,GO:0060253,GO:0043524,GO:0046621,GO:2000059,GO:0035265,GO:0018107,GO:0043065,GO:2001235,GO:0046777,GO:0006468,GO:0045464,GO:2001233,GO:0042127,GO:0070613,GO:0010212,GO:0046666,GO:0023014,GO:0072089,GO:0031098
A1ZBE8	GO:0006895,GO:0015031
A1ZBF6	GO:0019731,GO:0050829,GO:0050830,GO:0006959,GO:0055093
A9UN61	
O97067	
P05205	GO:0006342,GO:0030702,GO:0051276,GO:0006343,GO:0016458,GO:0031507,GO:0034773,GO:0000278,GO:0045892,GO:0033697,GO:1905646,GO:1900111,GO:0090309,GO:0045893,GO:0061408,GO:1905632,GO:0042981,GO:0031060,GO:1905634,GO:0006355,GO:0000723
P10735	GO:0007619,GO:0008049,GO:0007638,GO:0032543,GO:0001666,GO:0009612,GO:0007605,GO:0006412
P15357	GO:0002181,GO:0019941,GO:0016567
P50887	GO:0002181
P55830	GO:0002181,GO:0007275,GO:0048477
Q24046	GO:0006812,GO:0030007,GO:0006883,GO:0010248,GO:0010107,GO:0036376
Q5U110	GO:0007448,GO:0061353,GO:0090254,GO:0016477,GO:0035214,GO:0030718,GO:0007488,GO:0007476,GO:0007443,GO:0016335,GO:0048635,GO:0045886,GO:0030512,GO:0042325,GO:0008582,GO:0031290,GO:0007179
Q7JQF6	GO:0040003
Q7K0L4	
Q7KN74	GO:0046854,GO:0072659
Q8IR10	GO:0010171,GO:0040003
Q8SXS8	GO:0032958
Q95RR1	GO:0006878,GO:0055070,GO:0030001,GO:0015680,GO:0006979
Q9V345	GO:0001751,GO:0036099,GO:0007281,GO:0048140,GO:0032435,GO:0048477,GO:0000338,GO:0050821
Q9V4C9	GO:0008344,GO:0048699,GO:0016319,GO:0031175,GO:0045925
Q9VAG4	GO:0016197,GO:0006955,GO:0045087,GO:0006886,GO:0090385,GO:0090382,GO:0035542
Q9VHA8	GO:0034975
Q9VJ22	
Q9VKU3	GO:0070126
Q9VPY2	GO:0043161,GO:0010992
Q9VV62	GO:0040003
Q9VWZ8	
Q9VXG1	GO:0048149,GO:0019933,GO:0045471,GO:0009408,GO:0006979
Q9VYE6	GO:0032958,GO:0035071
Q9W029	GO:0048067,GO:0042438
Q9W1C9	GO:0007552,GO:0045297,GO:0009615
Q9XZT0	
A1ZBG9	GO:0019391,GO:0032504
A1ZBJ2	
Q9VWM1	GO:0016267
P02835	GO:0009952,GO:0007350,GO:0001708,GO:0007417,GO:0008354,GO:0007506,GO:0000122,GO:0007366,GO:0045944,GO:0035289,GO:0006355,GO:0006357,GO:0035282,GO:0035290
P05990	GO:0006207,GO:0044205,GO:0006526,GO:0070409,GO:0019240,GO:0006541,GO:0007595,GO:0051414,GO:0033574,GO:0000050,GO:0006228
P48598	GO:0002191,GO:0006325,GO:0016321,GO:0048136,GO:0007060,GO:0007112,GO:0010032,GO:0000278,GO:0007076,GO:0030307,GO:0001558,GO:0045995,GO:0099578,GO:0016070,GO:0048515,GO:0048137,GO:0006412,GO:0006413
Q7K3E9	GO:0006355,GO:0006351
Q8IRY8	
Q8MQJ8	GO:0007015,GO:0048268,GO:0048260
Q95RY2	
Q9I7Z9	
Q9V3G8	
Q9VBQ3	GO:0016567
Q9VN31	GO:0006398,GO:0006378,GO:0045944,GO:0098789
Q9VRL7	GO:0006030
Q9VRX0	GO:0006355
Q9VVX3	GO:0048675,GO:0007411,GO:0060070,GO:0016477,GO:0035293,GO:0008585,GO:0008045,GO:0035567,GO:0035206,GO:0031290,GO:0007435,GO:0007367,GO:0050808,GO:0016201,GO:0016055
Q9VZV5	
Q9W368	
A1ZBK1	
Q9VHX4	
Q9VSX2	GO:0061077,GO:0009408
A1ZBK4	
Q86BM6	GO:0016926
A1ZBK7	GO:0097340,GO:0007616,GO:0007614
Q7JWQ7	GO:0007155,GO:0006955,GO:0090263,GO:0035593
A1ZBL2	GO:0030473
M9MSL4	GO:0055059,GO:0007099,GO:0007098,GO:0032053,GO:0007100,GO:0007026,GO:0007288
Q8IQW5	GO:0061077,GO:0042026
Q9VFK2	GO:0000912,GO:0000902,GO:0030866,GO:0007391,GO:0000132,GO:0008258,GO:0008586,GO:0035160,GO:0007443,GO:0007091,GO:0007494,GO:0007052,GO:0035024,GO:0007274,GO:0007424,GO:0048814,GO:0007266,GO:0051653,GO:0035277
Q9VLS4	
Q9VV87	GO:0030497,GO:0034625,GO:0034626,GO:0019367,GO:0042759,GO:0007283,GO:0030148,GO:0042761
Q9VWM0	GO:0007606
Q9VXN2	GO:0015986,GO:0008340,GO:0045745,GO:1902600,GO:0006979
O76910	
P08181	GO:0007411,GO:0022416,GO:0007623,GO:0048749,GO:0060810,GO:0046331,GO:0045475,GO:0000278,GO:0031397,GO:0007310,GO:0007228,GO:0045880,GO:0006468,GO:0031647,GO:0016055
P45890	GO:0006338,GO:0070828
Q24180	GO:0009792,GO:0045893,GO:0050776,GO:0006357
Q4V5U6	GO:0002028
Q5U154	GO:0015718
Q7JR72	GO:0007626,GO:0007613,GO:0046928,GO:0048167
Q7JZ25	GO:1902476,GO:1905146,GO:0050975
Q7K0L5	GO:0009166
Q7K1W5	
Q8MR08	GO:0032259
Q8SXG7	
Q9VB23	GO:0006914,GO:0007059,GO:0008340,GO:0046627,GO:0010888,GO:0051898,GO:0001933,GO:0045880,GO:0031952,GO:0007165,GO:0051225
Q9VGU6	GO:0006172,GO:0046033,GO:0046039,GO:0046041
Q9VH02	
Q9VNE0	GO:0000381
Q9VSJ6	GO:0060271,GO:0035721,GO:1905515,GO:0061512
Q9VTP4	GO:0002181,GO:0000470,GO:0006412
Q9VTR6	GO:0061343,GO:0016477,GO:0035088,GO:0007507,GO:0007508,GO:0002009
Q9VTX8	GO:0008104
Q9VYD4	
Q9W115	
A1ZBM4	GO:0060548
P02833	GO:0009948,GO:0009952,GO:0007507,GO:0048542,GO:0007494,GO:0042694,GO:0000122,GO:0014019,GO:0045944,GO:0050767,GO:0007383,GO:0007384,GO:0007419
A1ZBM7	GO:0009593
A1ZBN5	GO:0018094
Q9VTA5	GO:0032504
A1ZBN7	
Q9W1L2	GO:0000915,GO:0030865,GO:0000281,GO:1904498,GO:0031106
Q9VJM1	
Q9W5X1	
A1ZBR5	
A8JNX0	GO:0001745,GO:0048205,GO:0006888,GO:0043087,GO:0006890
B5RIT8	
P48810	GO:0001745,GO:0008585,GO:0000278,GO:0000381,GO:0009408,GO:0042594
Q95RX5	
Q9VA18	GO:0042407,GO:0008053
Q9VGH5	GO:0051276,GO:0060810,GO:0007311,GO:0045451,GO:0006417,GO:0042060
Q9VPC1	GO:0016567,GO:0031146,GO:0006511
Q9VSV1	GO:0015770
A1ZBR8	
A1ZBT2	
Q6NMT8	
Q9VVC0	
E1JIF4	
P25008	GO:0022416,GO:0036011,GO:0045737,GO:1901409,GO:0045944,GO:0006357,GO:0045498,GO:0034472
Q4V3L3	
Q7K180	GO:0007017
Q9I7H8	
Q9NB04	GO:0034334,GO:0034332,GO:0045176,GO:0007043,GO:0001736,GO:0035088,GO:0007163,GO:0016332,GO:0016334,GO:0002009,GO:0016333,GO:0035509,GO:0045494,GO:0008594,GO:0035209,GO:0045186
Q9V3U7	
Q9VEP0	
Q9VPM2	GO:0018230,GO:0018345,GO:0006612
Q9VW10	
Q9W2E3	GO:0045892,GO:0000122,GO:0045893,GO:0045944,GO:0051123,GO:0006366
Q9XYR0	GO:0007250,GO:0034332,GO:0003384,GO:0045167,GO:0050829,GO:0007391,GO:0001654,GO:0046529,GO:0043065,GO:0046330,GO:0007370
A1ZBT5	GO:0006357,GO:0006366
Q8SYG2	GO:0036099,GO:0048142,GO:0007281,GO:0048140,GO:0007275,GO:0000338,GO:0050821,GO:0006511
Q9VA10	GO:0007189,GO:0007166,GO:0007186
Q9VP65	GO:0018364,GO:0070476,GO:0030488
Q9VSZ1	GO:0006886
A1ZBT8	
A1ZBU8	GO:0032504
P22265	GO:0048749,GO:0007450,GO:0048730,GO:0035214,GO:0008258,GO:0007480,GO:0007476,GO:0007479,GO:0061330,GO:0007494,GO:0045705,GO:0045892,GO:0000122,GO:2000497,GO:0045944,GO:0006357,GO:0007431,GO:0007380,GO:0007384,GO:0035292,GO:0007473,GO:0016055
Q7JRJ1	GO:0007275,GO:0045893,GO:0043620,GO:0042060
Q8MSH5	
Q9VD65	GO:0006886,GO:0016192
Q9VQ00	GO:0000209
Q9VT75	GO:0016573,GO:0018002,GO:0017198,GO:0048477
Q9VZL6	GO:0071230,GO:0032008,GO:0061462,GO:0008361
Q9W326	GO:2000650,GO:0045732,GO:0043161,GO:0000209,GO:0016567,GO:0048814,GO:0006511
A1ZBU9	GO:0043418,GO:0009636
Q8SX87	GO:0030968,GO:0006357
Q95TU9	GO:0007143,GO:0000226,GO:0000278,GO:0007052,GO:0007026,GO:0007097,GO:0007279,GO:0007344,GO:0035046,GO:0008104
Q9V9V0	
Q9VGL2	GO:0006355
Q9VL14	GO:0045893,GO:0042594,GO:0038202
Q9VL21	
Q9VMW8	GO:0006486
Q9VPR5	GO:0000398,GO:0000245
Q9VTM4	GO:0016567,GO:0031146
Q9W4R8	GO:0045039
Q9XZU1	GO:0006611,GO:0006606
X2JEJ0	GO:0043418,GO:0009636
A1ZBV0	GO:0007369
Q9VBS5	
A1ZBW6	
Q960T2	GO:0008306,GO:0007268,GO:0048172
Q9VE38	
Q9VE69	
A1ZBX0	
A1ZBX4	GO:0006386,GO:0042779
Q9VI00	
A1ZBX7	GO:0050829,GO:0008152
F0JAF9	GO:0006367
P52654	GO:0045944,GO:0051123,GO:0006366,GO:0006367
P26675	GO:0016199,GO:0051607,GO:0007173,GO:0007427,GO:0008543,GO:0007480,GO:2000134,GO:0043703,GO:0045793,GO:0035022,GO:0046579,GO:0007465,GO:0035023,GO:0045500,GO:0007264,GO:0008293,GO:0007426,GO:0048010
Q27571	GO:0006527,GO:0007444,GO:0008285,GO:0008156,GO:0007399,GO:0006809,GO:0007263,GO:0031284,GO:0002027,GO:0046620,GO:0009725,GO:0032496,GO:0007416
Q4QPP5	GO:0007049,GO:0051301,GO:0031122,GO:0007017,GO:0051013,GO:0016322,GO:0050775
Q7KTF8	GO:0006812,GO:0007268,GO:0034220,GO:0046716,GO:0050877,GO:0042391,GO:0017085,GO:0007165,GO:0007271
Q8IPH9	GO:0050804,GO:0032780,GO:0043271,GO:0007274,GO:0042391,GO:0042594
Q9VBQ2	GO:0016042
Q9VCI9	GO:0006751,GO:0022008
Q9VFR4	
Q9VGV9	GO:0002084
Q9VLU0	GO:0030261,GO:0030717
Q9VV68	GO:0007189,GO:0006171
Q9W2J5	GO:0007498
Q9W2P8	GO:0006355
Q9W3R7	GO:0000045,GO:0006914,GO:0000422,GO:0006995,GO:0009267,GO:0006501,GO:0061723,GO:0035096,GO:0016236,GO:0015031
Q9W568	GO:0035556,GO:0035073,GO:0035075
Q9W579	GO:0043161,GO:0051260,GO:0045187,GO:0030431
P22813	GO:0034605,GO:0042742,GO:0050832,GO:0045892,GO:0043388,GO:0045893,GO:0045944,GO:0061408,GO:0009408
P83971	GO:0019835,GO:0042742,GO:0008152
P83972	GO:0019835,GO:0050829,GO:0008152
Q7JUR5	GO:0050832
Q8IPT8	
Q9VPY4	GO:0000398
Q9VS33	GO:0030718,GO:1901840,GO:1901837
Q9VZV9	GO:0046167,GO:0006071,GO:0016310,GO:0006641
Q9W0M1	GO:1905349,GO:0060271,GO:0061824,GO:1905515
Q9W2U7	GO:0009649,GO:0010378
Q9W4L5	
Q9XYW6	GO:0046627,GO:0032436,GO:0031398,GO:0045862,GO:0043161,GO:0000209,GO:0016567,GO:0031943,GO:0030579
A2RVG6	GO:0006508
Q9GNK5	GO:0019731,GO:0019730,GO:0050829,GO:0050830,GO:0051607,GO:0006955,GO:0045087,GO:0032827,GO:0061057,GO:0006909,GO:0006963,GO:0006964,GO:0061059,GO:0002920,GO:0035007,GO:0048167,GO:0009617
Q9W0F6	GO:0036065,GO:0006486
P52486	GO:0000209
Q8IPJ1	
Q8MSX2	GO:0050829,GO:0045824,GO:0007406,GO:0045944,GO:0006357,GO:0051123,GO:0006366
Q9VR87	
A4UZ69	
O62619	GO:0032869,GO:0042593,GO:0006096,GO:0007520,GO:0006090,GO:0009744,GO:0007525
