A2AQR4	GO:0003676
P97474	GO:0003682,GO:0031490,GO:0003677,GO:0003700,GO:0000981,GO:0042802,GO:0051219,GO:0042803,GO:0001077,GO:0001078,GO:0001102,GO:0000978,GO:0001085,GO:0043565,GO:0003713,GO:0008134,GO:0000976
Q8CHK4	GO:0003682,GO:0010485,GO:0004402,GO:0042393,GO:0046872,GO:0043274,GO:0044877,GO:0070491,GO:0003713,GO:0008134
Q62231	GO:0003682,GO:0001205,GO:0003677,GO:0003700,GO:0001077,GO:0000978,GO:0043565,GO:0001223,GO:0044212,GO:0000976
Q9WTL8	GO:0017162,GO:0043425,GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0070888,GO:0051879,GO:0046982,GO:0001077,GO:0070491,GO:0000980,GO:0000978,GO:0043565,GO:0008134,GO:0000976
P97489	GO:0003677,GO:0003700,GO:0001158,GO:0001077,GO:0000978,GO:0003705,GO:0000982,GO:0044212,GO:0008270
Q9DBS8	
P97769	GO:0003682,GO:0070410,GO:0003700,GO:0050693,GO:0008022,GO:0042803,GO:0003713,GO:0044212
P97784	GO:0003690,GO:0070888,GO:0042826,GO:0019900,GO:0035257,GO:0000166,GO:0019902,GO:0009881,GO:0019901,GO:0008134
Q9R1X4	GO:0003677,GO:0046982,GO:0042803
Q9CQG4	
Q60925	GO:0001077,GO:0000977
Q08297	GO:0005524,GO:0003682,GO:0008094,GO:0070182,GO:0003690,GO:0042802,GO:0008022,GO:0000150,GO:0003697,GO:0043142
P98192	GO:0003824,GO:0016287,GO:0016290,GO:0005102
Q3THK3	GO:0003677,GO:0019211,GO:1990841,GO:0019904,GO:0019903,GO:0008134
Q6GTH9	GO:0046983
Q02085	GO:0003677,GO:0003700,GO:0001227,GO:0070888,GO:0019900,GO:0046872,GO:0001078,GO:0000977,GO:0043565
Q02248	GO:0045294,GO:0045296,GO:0003682,GO:0097718,GO:0003700,GO:0019899,GO:0030331,GO:1990226,GO:0044325,GO:0035255,GO:0070411,GO:0019900,GO:0050998,GO:0035257,GO:0044877,GO:0008022,GO:0046982,GO:0019901,GO:0019903,GO:0070491,GO:0001102,GO:0001085,GO:0046332,GO:0003713,GO:0008134
Q61315	GO:0008013,GO:0070840,GO:0045295,GO:0042802,GO:0008017,GO:0051010,GO:0002020,GO:0044877,GO:0019901,GO:0019887,GO:0031625
Q02395	GO:0003700,GO:0001227,GO:0046872,GO:0035064,GO:0000977,GO:0043565
Q02591	GO:0001078,GO:0000978,GO:0001103,GO:0001085
Q03358	GO:0003677,GO:0001227,GO:0000978,GO:0000977,GO:0043565,GO:0003712,GO:0000982,GO:0008134,GO:0044212
Q62504	GO:0003700,GO:0003723,GO:0001085,GO:0003697,GO:0003714
Q8BXP5	
Q8R5C8	GO:0003690,GO:0042393,GO:0035064,GO:0003714,GO:0008270
Q9CWW7	GO:0042800,GO:0000987,GO:0045322,GO:0008270
Q9D504	
Q04211	GO:0001078
Q91VY5	GO:0003682,GO:0001227,GO:0032452,GO:0051864,GO:0032454,GO:0046872,GO:0035064,GO:0001078
Q9WTP3	GO:0000981,GO:0043565
Q8VCD5	GO:0038023,GO:0046966,GO:0003713,GO:0003712,GO:0061630
Q9ER75	GO:0001228,GO:0001227,GO:0043565
Q07174	GO:0005524,GO:0000287,GO:0004709,GO:0004674
Q8CDD8	
Q07230	GO:0003700,GO:0046872,GO:0043565
Q6PD29	GO:0003677,GO:0003700,GO:0046872,GO:0044212
Q8VE28	GO:0051117,GO:0005509,GO:0019838,GO:0032036,GO:0031625
Q07231	GO:0003677,GO:0046872,GO:0001077,GO:0000978
Q60953	GO:0050897,GO:0003677,GO:0046982,GO:0042803,GO:0046332,GO:0032183,GO:0019789,GO:0003713,GO:0031625,GO:0008270
Q07243	GO:0003677,GO:0003700,GO:0000981,GO:0035035,GO:0046872,GO:0001077,GO:0000987,GO:0000978,GO:0000977
Q9QZB6	GO:0035497,GO:0003677,GO:0035259,GO:0035035,GO:0004879,GO:0042803,GO:0019901,GO:0001077,GO:0000978,GO:0000977,GO:0043565,GO:0003707,GO:0001223,GO:0008270
Q61103	GO:0004402,GO:0042393,GO:0046872,GO:0003676
Q62240	GO:0050681,GO:0003682,GO:0051213,GO:0003677,GO:0001227,GO:0032452,GO:0032453,GO:0034647,GO:0046872,GO:0035064
Q7TPV4	GO:0070888,GO:0043565,GO:0003714,GO:0008134,GO:0008270
Q8BLR9	GO:0071532,GO:0031406,GO:0048037,GO:0102113,GO:0005506,GO:0051059,GO:0005112,GO:0016706,GO:0036140,GO:0036139,GO:0042803,GO:0008270
Q8CFI7	GO:0003682,GO:0003677,GO:0003899,GO:0046872,GO:0032549
Q8VE42	
Q8VHI4	GO:0003677,GO:0003700,GO:0001077,GO:0000978
Q91X20	GO:0008013,GO:1990188,GO:0042800,GO:0046872,GO:0044212
Q922V4	
Q6IQX8	GO:0003677,GO:0003700,GO:0046872,GO:0001078,GO:0000978
Q99MY8	GO:0003682,GO:0003677,GO:0046975,GO:0042800,GO:0046872
Q9CQ39	GO:0003713,GO:0061630
Q9D7M8	GO:0003899,GO:0000166,GO:0031369
Q9JIB4	GO:0003676,GO:0047485,GO:0008270
Q07802	GO:0070742,GO:0003677,GO:0003700,GO:0046872,GO:0046983,GO:0001077,GO:0000978
Q8BJI4	GO:0003677,GO:0003700
Q08024	GO:0003677,GO:0003713
Q8K396	GO:0003690
Q08369	GO:0033613,GO:0003682,GO:0070410,GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0001158,GO:0051525,GO:0019901,GO:0001077,GO:0000978,GO:0000977,GO:0001085,GO:0043565,GO:0003713,GO:0003705,GO:0008134,GO:0044212,GO:0008270
Q8BX22	GO:0003677,GO:0046872,GO:0008134
Q64700	GO:1990841,GO:0001102,GO:0001012
Q1H9T6	GO:0003691,GO:0042802,GO:0046872,GO:0044212
Q8VIM5	GO:0001228,GO:0035035,GO:0042826,GO:0001077,GO:0000978,GO:0061629,GO:0070412,GO:0003713,GO:0008134
Q3TVI8	GO:0003714
Q9CQI9	GO:0038023,GO:0046966,GO:0003712,GO:0061630
Q3U1N2	GO:0003682,GO:0003677,GO:0003700,GO:0070888,GO:0008022,GO:0046983,GO:0001078,GO:0000978,GO:0043565,GO:0044212
Q9JJQ3	GO:0003676
Q8R3P9	GO:0044877,GO:0031625
Q9WUQ2	GO:0003677,GO:0003700,GO:0005096,GO:0051020,GO:0001077,GO:0005090
Q4G5Y1	
Q9D6I7	
Q9D6X5	GO:0032217
Q9DCX1	
Q3UHF7	GO:0003700,GO:0046872,GO:0001077,GO:0000978
Q3UJD6	GO:0051879,GO:1990380,GO:0046872,GO:0004843,GO:0031625
Q8K2C9	GO:0018812,GO:0102343,GO:0102344,GO:0102345,GO:0019899,GO:0102158
Q3UNW5	GO:0003700,GO:0001227,GO:0000977,GO:0043565
Q9ERA0	GO:0003700,GO:0008022,GO:0001077,GO:0000987,GO:0000978,GO:0043565,GO:0008134
Q5RL51	
Q9CR09	GO:0071568
Q60668	GO:0003680,GO:0003682,GO:0042826,GO:0035925,GO:0003729,GO:0003723,GO:0043565,GO:1990837,GO:0042162,GO:0008134
Q60698	GO:0003682,GO:0046811,GO:0019904,GO:0019901,GO:0070491,GO:0046332,GO:0003714,GO:0031625,GO:0008270
Q61602	GO:0008013,GO:0003682,GO:0003700,GO:0035035,GO:0042826,GO:0036033,GO:0046872,GO:0000978,GO:0000977,GO:0043565
Q60867	GO:0003682,GO:0003677,GO:0003700,GO:0003690,GO:0070888,GO:0046982,GO:0001077,GO:0001102,GO:0000978,GO:0043565,GO:0003713,GO:0008134
Q60749	GO:0042802,GO:0008143,GO:0008266,GO:0044877,GO:0019904,GO:0003723,GO:0005070,GO:0017124
Q91W39	GO:0003682
Q60771	GO:0042802,GO:0005198
Q9DCK3	GO:0003823,GO:0005178
Q61827	GO:0003677,GO:0003700,GO:0001077,GO:0071535,GO:0000978,GO:0043565,GO:0001221,GO:0000976
Q8R2X8	GO:0019899,GO:0031625
Q9JLC6	GO:0003690,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0000977,GO:0043565
Q80UW8	GO:0003677,GO:0003899
Q61146	GO:0019904
Q62312	GO:0005524,GO:0005539,GO:0019838,GO:0046872,GO:0031435,GO:0046332,GO:0005024,GO:0050431,GO:0005026,GO:0004675,GO:0034714,GO:0034713
Q9WVL2	GO:0003677,GO:0003700,GO:0042802,GO:0044389
Q61188	GO:0003682,GO:0031490,GO:0018024,GO:0042054,GO:0046976,GO:0070878,GO:1990841,GO:0016279,GO:0043021,GO:0003723,GO:0000979,GO:0000978,GO:0043565,GO:0044212
Q61233	GO:0051015,GO:0005509,GO:0051020,GO:0042802,GO:0005178
Q9DAW9	GO:0003779,GO:0005516,GO:0008017
Q64279	GO:0043425,GO:0003677,GO:0019899,GO:0042802,GO:0046982,GO:0042803,GO:0001078,GO:0000978,GO:0043565,GO:0003713,GO:0008134
Q61501	GO:0003677,GO:0003700,GO:0000981,GO:0046983,GO:0019901,GO:0001077,GO:0001078,GO:0000987,GO:0043565,GO:0008134,GO:0044212
Q9CPR8	GO:0046983
Q62315	GO:0003682,GO:0003677,GO:0001227,GO:0035064,GO:0000977,GO:0008134
Q6NZI9	GO:0003676
Q6PGB8	GO:0036310,GO:0016887,GO:0005524,GO:0003677,GO:0004386,GO:0031491,GO:0008134
Q80X44	GO:0003677,GO:0003700,GO:0046872
Q8BP86	GO:0003677
Q8BY02	GO:0001077,GO:0000978
Q8C7B8	GO:0008270
Q8K119	GO:0016887,GO:0005524,GO:0019899,GO:0030983,GO:0003697
Q8VCG9	GO:0003677
Q8VIG1	GO:0003682,GO:0003677,GO:0001228,GO:0003700,GO:0046872,GO:0015271,GO:0044877,GO:0001078,GO:0000979,GO:0000978,GO:0008134,GO:0044212
Q91ZU1	
Q99LL5	GO:1990889
Q99PE2	GO:0042826,GO:0050750,GO:0019901,GO:0031625
Q9D6K9	GO:0003677,GO:0050291
Q9DCD2	
Q9R0X0	GO:0003713,GO:0061630
Q9Z1B8	GO:0003682,GO:0003700,GO:0046872,GO:0035064,GO:0043565
Q9Z1L3	GO:0003677
Q9Z2D6	GO:0003682,GO:0031490,GO:0003677,GO:0003700,GO:0010385,GO:0019899,GO:0000400,GO:0042826,GO:0008327,GO:0003729,GO:1990841,GO:0019904,GO:0047485,GO:0001078,GO:0035197,GO:0008134,GO:0045322
Q61751	GO:0003677,GO:0003700,GO:0046872
Q62318	GO:0003682,GO:0070087,GO:0003677,GO:0035851,GO:1990841,GO:0004672,GO:0019789,GO:0003713,GO:0003714,GO:0031625,GO:0004842,GO:0008270
Q61820	GO:0003924,GO:0005525
Q9JIB0	GO:0005085,GO:0044325,GO:0008565,GO:0008536,GO:0005087,GO:0017080
Q62282	GO:0000981,GO:0046983,GO:0000977
Q9QYB2	GO:0003700,GO:0001078,GO:0000978,GO:0001075
Q62296	GO:0003677,GO:0003700,GO:0001077,GO:0000978,GO:0001085,GO:0043565,GO:0044212
Q8BIQ3	GO:0003677,GO:0046872
Q62440	GO:0003682,GO:0042802,GO:0070491,GO:0003714,GO:0008134
Q9ER42	GO:0001228,GO:0000977
Q64526	
Q9D1I4	GO:0005198
Q9D1K4	GO:0042802,GO:0005198
Q8C1R0	GO:0005524,GO:0000287,GO:0004674
Q64732	GO:0000981,GO:0043565
Q8CB77	
Q6J1H4	GO:0071837,GO:0003713
S4R299	GO:0003676
Q99KW9	
Q9CYS6	
Q9D009	GO:0016874,GO:0033819,GO:0102555
Q6PDK0	GO:0003676
Q9CZT4	GO:0003899
Q8BP71	GO:0003729,GO:0003723,GO:0003714,GO:0008134
Q9Z0G7	GO:0003677,GO:0046872
Q6VUP9	GO:0003677,GO:0000981,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0000977
Q6ZQG6	GO:0001077,GO:0043565
Q7TSI0	GO:0046872,GO:0003676
Q80V53	GO:0001537
Q8R0T2	GO:0003677,GO:0046872
Q9CZK6	
Q8BJ04	GO:0043565
Q8BN78	GO:0046872,GO:0008327,GO:0043565
Q8BSQ9	GO:0003682,GO:0003677
Q8BVH0	GO:0046872,GO:0003676
Q8BWY7	GO:0005385
Q9QY14	GO:0003700,GO:0000981,GO:0043565
Q8BZ34	GO:0003677,GO:0046872
Q9D0B1	GO:0003677,GO:0046872
Q9CUN6	GO:0070411,GO:0070412,GO:0061630,GO:0004842
Q9ESZ8	GO:0003677,GO:0003700,GO:0051019
Q91VN1	GO:0001228,GO:0003700,GO:0046872,GO:0043565
Q8CCJ4	GO:0008013,GO:0005546
Q8JZL0	GO:0003677,GO:0046872
Q8K0Y2	GO:0005198
Q922U2	GO:0097110,GO:0005198
Q8K4J6	GO:0003779,GO:0003785,GO:0003700,GO:0043522,GO:0003713,GO:0000976
Q8K4Z2	GO:0005179
Q9Z205	GO:0003677,GO:0042826
Q8R326	GO:0070888,GO:0003723,GO:0000976
Q9CZX2	
Q9QZ28	GO:0001205,GO:1990837,GO:0000976
Q8R5J9	GO:0008022
Q99KK1	
Q8VCD7	GO:0050681,GO:0003682,GO:0001227,GO:0019899,GO:0032452,GO:0051864,GO:0032454,GO:0035064,GO:0001078,GO:0008270
Q8VD76	GO:0008094,GO:0046872,GO:0047485,GO:0008353
Q8VDK3	GO:0001228,GO:0000981,GO:0000977
Q8VHJ7	GO:0050682,GO:0030331,GO:0030374,GO:0003723,GO:0003712,GO:0008134
Q920D3	GO:0003779
Q921D4	GO:0003677,GO:0001128,GO:0003713,GO:0008134,GO:0061630
Q9DBS2	GO:0042802
Q924A2	GO:0003682,GO:0003677
Q9ES18	GO:0042802,GO:0001077,GO:0000978,GO:0043565
Q9JJG5	GO:0003713
Q99N03	
Q9QXV3	GO:0046872,GO:0035064
Q9CQB2	
Q9CR78	GO:0042802
Q9Z2F2	GO:0001730,GO:0005524,GO:0003725,GO:0046872
Q9CWS1	GO:0042802,GO:0046872,GO:0043021,GO:0004842
Q9CWY4	
Q9CX53	
Q9WTL2	GO:0003924,GO:0005525,GO:0031489
Q9CY99	GO:0003676
Q9Z247	GO:0005509,GO:0003755
Q9CZA6	GO:0042802,GO:0008017,GO:0019904
Q9D6W8	
Q9DAI4	GO:0003677,GO:0046872
Q9D0F1	GO:0042802
Q9D122	
Q9D195	GO:0005198
Q9D3J5	
Q9D3R3	GO:0042802
Q9D6J1	GO:0003677,GO:0050291
Q9D6S9	
Q9DCW2	GO:0046872,GO:0017128,GO:0017124
Q9D9Z1	
Q9D7G9	GO:0042802
Q9JJC8	GO:0015095
Q9D8L5	GO:0042802
Q9D8M7	GO:0004402,GO:0042393,GO:0046872
Q9DCP9	GO:0042802,GO:0031435,GO:0043539,GO:0030971,GO:0050699
Q9DCC4	GO:0004126,GO:0042802,GO:0004735
Q9QWL7	GO:0042289,GO:0032395,GO:0005198
Q9Z320	GO:0005198
Q9JJ94	GO:0042802
Q9JK92	GO:0042802
Q9JLV1	GO:0000774,GO:0051087,GO:0044877
Q9QZ09	GO:0003677
Q9WU42	GO:0003682,GO:0003677,GO:0035259,GO:0042826,GO:0005112,GO:0035257,GO:0016922,GO:0044877,GO:0047485,GO:0042974,GO:0046965,GO:0001012,GO:0043565,GO:0003714
Q9Z2V6	GO:0003682,GO:0004407,GO:0042826,GO:0046872,GO:0032041,GO:0033558,GO:0019901,GO:0005080,GO:0001077,GO:0070491,GO:0000978,GO:0001226,GO:0001085,GO:0003714,GO:0008134
Q9Z223	GO:0042802,GO:0030366
