A2AQR4	GO:0003676
P15307	GO:0003682,GO:0001205,GO:0003700,GO:0000980,GO:0000977,GO:0043565
P19091	GO:0005497,GO:0004882,GO:0050681,GO:0051117,GO:0008013,GO:0003682,GO:0003700,GO:0019899,GO:0004879,GO:0070974,GO:0019904,GO:0001077,GO:0032553,GO:0001091,GO:0000978,GO:0001085,GO:0043565,GO:0005102,GO:0005496,GO:0008134,GO:0044212,GO:0008270
P20067	GO:0003700,GO:0070628,GO:0008022,GO:0042803,GO:0047485,GO:0043621,GO:0001085,GO:0008134
P42586	GO:0003682,GO:0003700,GO:0000987,GO:0043565,GO:0003713,GO:0008134
P97471	GO:0003682,GO:0005518,GO:0003677,GO:0001228,GO:0003700,GO:0031005,GO:0042802,GO:0070411,GO:0046872,GO:0046982,GO:0042803,GO:0001077,GO:0000987,GO:0000978,GO:0000977,GO:0001085,GO:0070412,GO:0046332,GO:0043199,GO:0003712,GO:0044212,GO:0030616
P97480	GO:0003682,GO:0046872,GO:0008138,GO:0004725
Q5SXJ3	GO:0051539,GO:0005524,GO:0004003,GO:0003682,GO:0003677,GO:0046872
Q61221	GO:0003677,GO:0001228,GO:0003700,GO:0000981,GO:0070888,GO:0019899,GO:0035035,GO:0042826,GO:0051879,GO:0035257,GO:0002039,GO:0044877,GO:0019904,GO:0046982,GO:0019901,GO:0001077,GO:0043565,GO:0003705,GO:0008134,GO:0031625
Q62219	GO:0050681,GO:0070411,GO:0046872,GO:0048495,GO:0003713
Q64163	GO:0003677,GO:0003700,GO:0000981,GO:0019904,GO:0003712,GO:0008134
Q64287	GO:0003700,GO:0016279,GO:0001077,GO:0000978,GO:0043565
Q64701	GO:1990841,GO:0001102,GO:0001012,GO:0008134
Q69ZU8	
Q7TNV0	GO:0003677,GO:0042393
Q99LJ2	GO:0003746
Q9CQZ1	GO:0042802,GO:0003714
Q9CXU1	GO:0003713,GO:0061630
Q9D8X5	GO:0000175,GO:0046872,GO:0004535,GO:0003723
Q9D902	GO:0003677
Q9DBA9	GO:0003682
Q9EPZ6	GO:0046982,GO:0042803,GO:0001078,GO:0000978,GO:0001085,GO:0003714,GO:0000976
Q9EQN3	GO:0003700
O55201	GO:0003682,GO:0019899,GO:0003729,GO:0046982
P63271	GO:0046982,GO:0000993,GO:0003727,GO:0008270
Q925E7	GO:0019888
O55203	GO:0019899,GO:0030274,GO:0001102,GO:0003712
P25801	GO:0043425,GO:0003682,GO:0048037,GO:0001228,GO:0000981,GO:0070888,GO:0046872,GO:0001102,GO:0000977
P53776	GO:0046872,GO:0008327,GO:0043565
P61372	GO:0043425,GO:0003682,GO:0003677,GO:0001158,GO:0030331,GO:0046872,GO:0016922,GO:1990841,GO:0001077,GO:0001102,GO:0000978,GO:0043565,GO:0003713
P61375	GO:0046872,GO:0043565
P61969	GO:0001158,GO:0046872,GO:0008134
P63006	GO:0003700,GO:0046872,GO:0043565,GO:0003714
Q3U4B1	GO:0001077,GO:0000978,GO:0003697
Q8BZL8	GO:0046872
Q8C9M8	GO:0003700,GO:0042802,GO:0046872,GO:0003676
Q924W9	GO:0046872
Q9CXV0	GO:0046872,GO:0043565
Q9CYZ8	GO:0001077,GO:0000978,GO:0003697
Q9D0P5	GO:0046872,GO:0035064
Q9JKU8	GO:0001228,GO:0046872,GO:0000977
Q9WUH2	GO:0046872,GO:0043565,GO:0003714
Q9Z0S2	GO:0003682,GO:0046872,GO:0001077,GO:0000978,GO:0043565
O70137	GO:0003677,GO:0003700,GO:0043565
P97875	GO:0003682,GO:0003677,GO:0003700,GO:0003690,GO:0046982,GO:0001078,GO:0000978
O70191	GO:0003682,GO:0003700,GO:0000981,GO:0031072,GO:0019900,GO:0000977,GO:0043565,GO:0044212,GO:0015631
P53568	GO:0003677,GO:0003690,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0044377,GO:0043565,GO:0008134
O70220	GO:0000981,GO:0001078,GO:0000978
Q9D032	GO:0001077,GO:0000978,GO:0003697
O70273	GO:0003677,GO:0003700,GO:0000981,GO:0001077,GO:0000978
Q9EST8	
O70343	GO:0043014,GO:0003682,GO:0031490,GO:0003677,GO:0030331,GO:0016922,GO:0030374,GO:0042975,GO:1990841,GO:0003723,GO:0043565,GO:0003713,GO:0008134,GO:0031625
Q9Z0Y9	GO:0003677,GO:0003700,GO:0000981,GO:0004879,GO:0030374,GO:0046982,GO:0001077,GO:0046965,GO:0000978,GO:0000977,GO:0043565,GO:0038023,GO:0003707,GO:0032810,GO:0003713,GO:0008134,GO:0044212,GO:0000976,GO:0008270
O70433	GO:0042802,GO:0046872,GO:0008134
P22561	GO:0070742,GO:0003700,GO:0000981,GO:0003690,GO:0010385,GO:0044729,GO:0001077,GO:0003723,GO:0043565,GO:0044212,GO:0008270
O70445	GO:0046872,GO:0046982,GO:0042803,GO:0003723,GO:0004842
O70479	GO:0017049,GO:0042802,GO:0019904,GO:0004842
O88196	GO:0046872,GO:0004842
Q6P8Z1	GO:0003700
O88282	GO:0003677,GO:0001227,GO:0046872,GO:0000977
P41183	GO:0003682,GO:0031490,GO:0003677,GO:0003700,GO:0001227,GO:0042802,GO:0001161,GO:0046872,GO:0000977,GO:0043565
O88508	GO:0003682,GO:0003886,GO:0051719,GO:0003677,GO:0042802,GO:0046872,GO:0008168,GO:0000978,GO:0008134
Q9CWR8	GO:0008047,GO:0019899,GO:0046872
Q60769	GO:0003677,GO:0042802,GO:0070530,GO:0019900,GO:0061578,GO:0002020,GO:0043621,GO:0004843,GO:0036459,GO:0043130,GO:0004842,GO:0008270
Q61187	GO:0048306,GO:0030374,GO:0044877,GO:0042803,GO:0003714,GO:0043130,GO:0031625,GO:0046790
Q6T264	GO:0042605,GO:0019901,GO:0003713
P42582	GO:0003682,GO:0003677,GO:0001228,GO:0003700,GO:0042826,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0043565,GO:0010736,GO:0003705,GO:0008134,GO:0044212
Q62432	GO:0033613,GO:0003682,GO:0070410,GO:0097718,GO:0001228,GO:0003700,GO:0003690,GO:0070411,GO:0046872,GO:0019902,GO:0070878,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0070412,GO:0046332,GO:0048156,GO:0008134,GO:0030618,GO:0005160,GO:0034713,GO:0031625
